32;51;[ 2, 2, 2, 2, 2, 2, 2 ];246.38;1672;FastAbelian;{[ $.1 * $.3 * $.5, $.1 * $.2 * $.5, $.3, $.3 * $.4, $.1 * $.4, $.1 * $.2 * $.3 * $.5, $.5 ]:[ $.2 * $.3, $.4 * $.5, $.4 * $.5, $.1 * $.2 * $.5, $.1, $.1 * $.5, $.1 * $.3 ]}
32;51;[ 2, 2, 2, 2, 2, 2 ];28.41;480;FastAbelian;{[ $.1 * $.3 * $.4 * $.5, $.2 * $.3 * $.4, $.2 * $.3 * $.4 * $.5, $.3 * $.5, $.3 * $.4 * $.5, $.1 * $.3 ]}
27;5;[ 3, 3, 3, 3, 3, 3 ];7.38;149;FastAbelian;{[ $.1 * $.3^2, $.1^2 * $.2^2, $.2, $.1^2 * $.2^2 * $.3, $.1 * $.2^2, $.2^2 ]:[ $.1 * $.3, $.1^2 * $.2 * $.3, $.1 * $.2 * $.3, $.1 * $.2 * $.3^2, $.1^2 * $.3^2, $.1^2 * $.3^2 ]:[ $.1 * $.2, $.1^2 * $.2 * $.3^2, $.1 * $.2^2 * $.3, $.1 * $.2^2 * $.3^2, $.1^2, $.1^2 * $.3 ]:[ $.1 * $.3, $.1 * $.3, $.1^2 * $.2, $.3^2, $.2^2 * $.3, $.1^2 * $.3 ]:[ $.1 * $.3, $.1 * $.3^2, $.1 * $.3^2, $.1 * $.3^2, $.1 * $.2 * $.3^2, $.1 * $.2^2 ]:[ $.1 * $.3, $.1^2 * $.2 * $.3, $.1^2 * $.2^2 * $.3^2, $.2 * $.3, $.3, $.1 * $.2^2 ]:[ $.2 * $.3, $.2 * $.3^2, $.1 * $.2^2 * $.3, $.1 * $.2^2 * $.3^2, $.1^2 * $.3, $.1^2 * $.3^2 ]:[ $.1 * $.3, $.1 * $.2 * $.3, $.3, $.2^2 * $.3, $.1^2 * $.3, $.1^2 * $.3 ]:[ $.1^2 * $.2^2 * $.3^2, $.1^2 * $.2^2 * $.3^2, $.1 * $.2, $.2, $.1 * $.2 * $.3^2, $.2^2 ]:[ $.1^2 * $.2, $.1^2 * $.2 * $.3^2, $.2, $.1 * $.2^2, $.1 * $.2^2 * $.3, $.2^2 ]:[ $.1 * $.2, $.2, $.1 * $.2^2 * $.3, $.2^2 * $.3^2, $.1^2 * $.3, $.1^2 * $.3^2 ]:[ $.1^2 * $.2^2 * $.3^2, $.2, $.1 * $.2* $.3^2, $.1 * $.2 * $.3^2, $.1 * $.2^2, $.1 * $.2^2 ]}
32;21;[ 4, 4, 4, 4, 4 ];2.13;51;FastAbelian;{[ $.1 * $.2 * $.3, $.1 * $.2 * $.4 * $.5, $.1 * $.2 * $.3 * $.4, $.2, $.1 * $.5 ]:[ $.1, $.1 * $.3, $.1 * $.3 * $.4, $.2 * $.5, $.1 * $.2 * $.4 ]:[ $.1, $.1 * $.3 * $.5, $.1 * $.3 * $.5, $.2 * $.4 * $.5, $.1 * $.2 * $.4 ]}
81;1;[ 3, 81, 81 ];2;51;FastAbelian;{[ $.1^2 * $.2 * $.3^2 * $.4^2, $.4, $.1 * $.2 * $.4^2 ]}
61;1;[ 61, 61, 61 ];1.94;51;FastAbelian;{[ $.1^25, $.1^7, $.1^29 ]:[ $.1^10, $.1^43, $.1^8 ]:[ $.1^4, $.1^28, $.1^29 ]:[ $.1^3, $.1^28, $.1^30 ]:[ $.1^44, $.1^16, $.1 ]:[ $.1^32, $.1^25, $.1^4 ]:[ $.1^45, $.1^57, $.1^20 ]:[ $.1^25, $.1^27, $.1^9 ]:[ $.1^44, $.1^26, $.1^52 ]:[ $.1^57, $.1^57, $.1^8 ]:[ $.1^36, $.1^6, $.1^19 ]}
59;1;[ 59, 59, 59 ];1.65;51;FastAbelian;{[ $.1^22, $.1^46, $.1^50 ]:[ $.1^11, $.1^57, $.1^50 ]:[ $.1^14, $.1^38, $.1^7 ]:[ $.1^21, $.1^12, $.1^26 ]:[ $.1^43, $.1^7, $.1^9 ]:[ $.1^12, $.1^56, $.1^50 ]:[ $.1^47, $.1^6, $.1^6 ]:[ $.1^4, $.1^27, $.1^28 ]:[ $.1^3, $.1^38, $.1^18 ]:[ $.1^5, $.1^38, $.1^16 ]}
81;2;[ 9, 9, 9 ];1.23;64;FastAbelian;{[ $.1^2 * $.2^2, $.1^2 * $.2 * $.3^2 * $.4^2, $.1^2 * $.3^2 ]}
27;5;[ 3, 3, 3, 3, 3 ];1.01;64;FastAbelian;{[ $.1^2 * $.2 * $.3^2, $.2, $.1^2 * $.2^2 * $.3, $.1 * $.2^2, $.1 ]:[ $.1 * $.3, $.1^2 * $.2 * $.3^2, $.1 * $.2 * $.3^2, $.1^2 * $.2^2 * $.3, $.2^2 ]:[ $.2 * $.3, $.1 * $.2^2 * $.3, $.2^2, $.1 * $.2^2 * $.3^2, $.1 * $.2^2 * $.3^2 ]}
124;4;[ 2, 31, 62 ];0.84;32;FastAbelian;{}
